	Unnamed: 0	Ratsmitglied	Zutrittsberechtigte	Funktion	Partei	Kanton	page	document	Partei DE	Fraktion	Sektor	Organisation	Score
0	2	Aebi Andreas, SVP/BE	Schneider Donat	aaremilch AG	SVP	BE	2.0	zutrittsberechtigte-nr.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Milchwirtschaft	aaremilch AG	100
1	3	Aebi Andreas, SVP/BE	Wyss Andreas	Berner Bauernverband	SVP	BE	2.0	zutrittsberechtigte-nr.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Landwirtschaft allgemein	Berner Bauern Verband	98
2	4	Aebischer Matthias, SP/BE	Bütikofer Etienne	Bildungsorganisation savoirsuisse	SP	BE	2.0	zutrittsberechtigte-nr.pdf	SP	Sozialdemokratische Fraktion	Bildung/Wissenschaft	savoirsuisse	90
3	8	Amaudruz Céline, UDC/GE	Eperon Patrick	Centre patronal	UDC	GE	2.0	zutrittsberechtigte-nr.pdf	SVP	Fraktion der Schweizerischen Volkspartei	KMU/Gewerbe/Arbeitgeber	Centre Patronal	100
4	9	Amaudruz Céline, UDC/GE	Trunz Manuel	UBS AG	UDC	GE	2.0	zutrittsberechtigte-nr.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Banken	UBS AG	100
5	12	Amstutz Adrian, SVP/BE	Jaussi Reto	ASTAG Schweizerischer Nutzfahrzeugverband	SVP	BE	2.0	zutrittsberechtigte-nr.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Logistik/Transport	Astag, Schweizerischer Nutzfahrzeugverband	99
6	24	Bauer Philippe, PLR/NE	Moret Alfred	Suissetec	PLR	NE	3.0	zutrittsberechtigte-nr.pdf	FDP	FDP-Liberale Fraktion	Baunebengewerbe	Schweizerisch-Liechtensteinischer Gebäudetechnikverband (suissetec)	90
7	26	Bäumle Martin, glp/ZH	Zenhäusern Martin	Zenhäusern & Partner AG	glp	ZH	3.0	zutrittsberechtigte-nr.pdf	glp	Grünliberale Fraktion	Consulting/PR	Zenhäusern & Partner AG Unternehmensberatung für Öffentlichkeitsarbeit	90
8	27	Bäumle Martin, glp/ZH	Ananiadis Jorgo	Piratenpartei	glp	ZH	3.0	zutrittsberechtigte-nr.pdf	glp	Grünliberale Fraktion	Parteien	Piratenpartei Schweiz	90
9	35	Bertschy Kathrin, glp/BE	Trummer Christoph	Musikschaffende Schweiz	glp	BE	4.0	zutrittsberechtigte-nr.pdf	glp	Grünliberale Fraktion	Musik	Verein Musikschaffende Schweiz	95
10	36	Bertschy Kathrin, glp/BE	Achermann Sophie	alliance F	glp	BE	4.0	zutrittsberechtigte-nr.pdf	glp	Grünliberale Fraktion	Gleichstellung	alliance F – Bund Schweizerischer Frauenorganisationen	90
11	37	Bigler Hans-Ulrich, FDP-Liberale/ZH	Kläy Dieter	Schweizerischer Gewerbeverband sgv	FDP	ZH	4.0	zutrittsberechtigte-nr.pdf	FDP	FDP-Liberale Fraktion	KMU/Gewerbe/Arbeitgeber	Schweizerischer Gewerbeverband	95
12	38	Bigler Hans-Ulrich, FDP-Liberale/ZH	Salzmann Bernhard	Schweizerischer Baumeisterverband	FDP	ZH	4.0	zutrittsberechtigte-nr.pdf	FDP	FDP-Liberale Fraktion	Bauhauptgewerbe	Schweizerischer Baumeisterverband	100
13	39	Birrer-Heimo Prisca, SP/LU	Stalder Sara	Stiftung für Konsumentenschutz	SP	LU	4.0	zutrittsberechtigte-nr.pdf	SP	Sozialdemokratische Fraktion	Konsumentenschutz	Stiftung für Konsumentenschutz (SKS)	95
14	44	Brand Heinz, SVP/GR	Nold Rebetez Verena	santésuisse	SVP	GR	4.0	zutrittsberechtigte-nr.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Krankenkassen	Santésuisse	100
15	47	Brélaz Daniel, PES/VD	Jakob Stefan	Ecopolitics	PES	VD	4.0	zutrittsberechtigte-nr.pdf	GPS	Grüne Fraktion	Consulting/PR	Ecopolitics GmbH	95
16	48	Brélaz Daniel, PES/VD	Michaud Gigon Sophie	Fédération romande des consommateurs (FRC)	PES	VD	4.0	zutrittsberechtigte-nr.pdf	GPS	Grüne Fraktion	Konsumentenschutz	Fédération romande des consommateurs (FRC)	100
17	56	Bühler Manfred, UDC/BE	Durst Marcel	Association Spitex privée Suisse (ASPS)	UDC	BE	5.0	zutrittsberechtigte-nr.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Spitex	Association Spitex privée Suisse ASPS	99
18	63	Campell Duri, BDP/GR	Bürki Franziska	Entwicklung Schweiz	BDP	GR	5.0	zutrittsberechtigte-nr.pdf	BDP	BDP Fraktion	Bauhauptgewerbe	Entwicklung Schweiz	100
19	74	Chevalley Isabelle, pvl/VD	Frey Tim	Farner Consulting AG	pvl	VD	6.0	zutrittsberechtigte-nr.pdf	glp	Grünliberale Fraktion	Consulting/PR	Farner Consulting AG	100
20	75	Chiesa Marco, UDC/TI	Denti Franco Eugenio	Ordine dei Medici del Canton Ticino	UDC	TI	6.0	zutrittsberechtigte-nr.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Arztmedizin	Ordine dei Medici del Canton Ticino	100
