	level_0	index	Funktion	Ratsmitglied	Zutrittsberechtigte	document	page
0	0	0	Invité(e)	Addor Jean-Luc, UDC/VS	Perroud Bruno	zutrittsberechtigte-nr.pdf	2
1	1	1	Invité(e)		Fauchère Cyrille	zutrittsberechtigte-nr.pdf	2
2	2	2	aaremilch AG	Aebi Andreas, SVP/BE	Schneider Donat	zutrittsberechtigte-nr.pdf	2
3	3	3	Berner Bauernverband		Wyss Andreas	zutrittsberechtigte-nr.pdf	2
4	4	4	Bildungsorganisation savoirsuisse	Aebischer Matthias, SP/BE	Bütikofer Etienne	zutrittsberechtigte-nr.pdf	2
5	5	5	Gast		Meyer Markus	zutrittsberechtigte-nr.pdf	2
6	6	6		Aeschi Thomas, SVP/ZG		zutrittsberechtigte-nr.pdf	2
7	7	7				zutrittsberechtigte-nr.pdf	2
8	8	8	Centre patronal	Amaudruz Céline, UDC/GE	Eperon Patrick	zutrittsberechtigte-nr.pdf	2
9	9	9	UBS AG		Trunz Manuel	zutrittsberechtigte-nr.pdf	2
10	10	10	Gast	Ammann Thomas, CVP/SG	Ammann-Pridgar Gabi	zutrittsberechtigte-nr.pdf	2
11	11	11				zutrittsberechtigte-nr.pdf	2
12	12	12	ASTAG Schweizerischer Nutzfahrzeugverband	Amstutz Adrian, SVP/BE	Jaussi Reto	zutrittsberechtigte-nr.pdf	2
13	13	13				zutrittsberechtigte-nr.pdf	2
14	14	14		Arnold Beat, SVP/UR		zutrittsberechtigte-nr.pdf	2
15	15	15				zutrittsberechtigte-nr.pdf	2
16	16	0	Persönliche/r Mitarbeiter/in	Arslan Sibel, BastA/BS	Schiavi Rita	zutrittsberechtigte-nr.pdf	3
17	17	1	Schweizerische Flüchtlingshilfe SFH		Meier Peter	zutrittsberechtigte-nr.pdf	3
18	18	2	Wohnbaugenosschenschaften Schweiz	Badran Jacqueline, SP/ZH	Keller Ulrich	zutrittsberechtigte-nr.pdf	3
19	19	3	ASLOCA		Zwahlen Pierre	zutrittsberechtigte-nr.pdf	3
20	20	4		Barazzone Guillaume, PDC/GE		zutrittsberechtigte-nr.pdf	3
21	21	5				zutrittsberechtigte-nr.pdf	3
22	22	6	Persönliche/r Mitarbeiter/in	Barrile Angelo, SP/ZH	Helfenstein Urs	zutrittsberechtigte-nr.pdf	3
23	23	7	Gast		Hardmeier Marco	zutrittsberechtigte-nr.pdf	3
24	24	8	Suissetec	Bauer Philippe, PLR/NE	Moret Alfred	zutrittsberechtigte-nr.pdf	3
25	25	9				zutrittsberechtigte-nr.pdf	3
